Delay,Grain,Accuracy
1,Corn,0.583586626
1,Soybean,0.533536585
1,Wheat,0.503067485
1,Rice,0.451298701
1,Oat,0.523809524
1,Corn,0.598784195
1,Soybean,0.649390244
1,Wheat,0.588957055
1,Rice,0.480519481
1,Oat,0.452380952
1,Corn,0.568389058
1,Soybean,0.631097561
1,Wheat,0.570552147
1,Rice,0.467532468
1,Oat,0.428571429
1,Corn,0.653495441
1,Soybean,0.695121951
1,Wheat,0.622699387
1,Rice,0.467532468
1,Oat,0.428571429
1,Corn,0.598784195
1,Soybean,0.664634146
1,Wheat,0.585889571
1,Rice,0.451298701
1,Oat,0.523809524
1,Corn,0.650455927
1,Soybean,0.68902439
1,Wheat,0.613496933
1,Rice,0.467532468
1,Oat,0.476190476
1,Corn,0.513677812
1,Soybean,0.603658537
1,Wheat,0.561349693
1,Rice,0.503246753
1,Oat,0.475
1,Corn,0.559139785
1,Soybean,0.597826087
1,Wheat,0.52238806
1,Rice,0.52027027
1,Oat,0.5
1,Corn,0.594202899
1,Soybean,0.622093023
1,Wheat,0.530612245
1,Rice,0.432176656
1,Oat,0.582278481
1,Corn,0.581325301
1,Soybean,0.627272727
1,Wheat,0.571428571
1,Rice,0.477564103
1,Oat,0.476190476
1,Corn,0.533333333
1,Soybean,0.529069767
1,Wheat,0.551020408
1,Rice,0.476340694
1,Oat,0.441558442
1,Corn,0.554006969
1,Soybean,0.554770318
1,Wheat,0.567272727
1,Rice,0.473684211
1,Oat,0.5
2,Corn,0.556231003
2,Soybean,0.551829268
2,Wheat,0.472392638
2,Rice,0.454545455
2,Oat,0.536585366
2,Corn,0.589665653
2,Soybean,0.634146341
2,Wheat,0.616564417
2,Rice,0.503246753
2,Oat,0.536585366
2,Corn,0.571428571
2,Soybean,0.579268293
2,Wheat,0.521472393
2,Rice,0.496753247
2,Oat,0.487804878
2,Corn,0.601823708
2,Soybean,0.673780488
2,Wheat,0.610429448
2,Rice,0.496753247
2,Oat,0.487804878
2,Corn,0.577507599
2,Soybean,0.634146341
2,Wheat,0.552147239
2,Rice,0.477272727
2,Oat,0.609756098
2,Corn,0.623100304
2,Soybean,0.664634146
2,Wheat,0.601226994
2,Rice,0.5
2,Oat,0.463414634
2,Corn,0.571428571
2,Soybean,0.588414634
2,Wheat,0.549079755
2,Rice,0.467532468
2,Oat,0.475
2,Corn,0.573476703
2,Soybean,0.583333333
2,Wheat,0.558052434
2,Rice,0.52027027
2,Oat,0.5
2,Corn,0.60755814
2,Soybean,0.61627907
2,Wheat,0.530612245
2,Rice,0.482649842
2,Oat,0.58974359
2,Corn,0.602409639
2,Soybean,0.648484848
2,Wheat,0.591463415
2,Rice,0.501607717
2,Oat,0.463414634
2,Corn,0.561046512
2,Soybean,0.604651163
2,Wheat,0.533527697
2,Rice,0.463722397
2,Oat,0.38961039
2,Corn,0.599303136
2,Soybean,0.570921986
2,Wheat,0.576642336
2,Rice,0.473684211
2,Oat,0.5
3,Corn,0.557926829
3,Soybean,0.524390244
3,Wheat,0.486153846
3,Rice,0.487012987
3,Oat,0.512195122
3,Corn,0.585365854
3,Soybean,0.643292683
3,Wheat,0.541538462
3,Rice,0.506493506
3,Oat,0.512195122
3,Corn,0.603658537
3,Soybean,0.582317073
3,Wheat,0.538461538
3,Rice,0.49025974
3,Oat,0.585365854
3,Corn,0.631097561
3,Soybean,0.667682927
3,Wheat,0.572307692
3,Rice,0.49025974
3,Oat,0.512195122
3,Corn,0.576219512
3,Soybean,0.618902439
3,Wheat,0.572307692
3,Rice,0.50974026
3,Oat,0.512195122
3,Corn,0.634146341
3,Soybean,0.655487805
3,Wheat,0.581538462
3,Rice,0.506493506
3,Oat,0.43902439
3,Corn,0.512195122
3,Soybean,0.609756098
3,Wheat,0.553846154
3,Rice,0.50974026
3,Oat,0.425
3,Corn,0.586330935
3,Soybean,0.610909091
3,Wheat,0.5917603
3,Rice,0.52027027
3,Oat,0.5
3,Corn,0.558139535
3,Soybean,0.609329446
3,Wheat,0.501457726
3,Rice,0.452531646
3,Oat,0.525641026
3,Corn,0.626506024
3,Soybean,0.645454545
3,Wheat,0.527439024
3,Rice,0.475884244
3,Oat,0.43902439
3,Corn,0.529069767
3,Soybean,0.565597668
3,Wheat,0.55393586
3,Rice,0.465189873
3,Oat,0.454545455
3,Corn,0.581881533
3,Soybean,0.606382979
3,Wheat,0.52919708
3,Rice,0.532894737
3,Oat,0.5
5,Corn,0.542682927
5,Soybean,0.565749235
5,Wheat,0.52
5,Rice,0.456026059
5,Oat,0.575
5,Corn,0.612804878
5,Soybean,0.611620795
5,Wheat,0.590769231
5,Rice,0.521172638
5,Oat,0.575
5,Corn,0.56097561
5,Soybean,0.577981651
5,Wheat,0.563076923
5,Rice,0.488599349
5,Oat,0.6
5,Corn,0.670731707
5,Soybean,0.703363914
5,Wheat,0.563076923
5,Rice,0.48534202
5,Oat,0.525
5,Corn,0.62195122
5,Soybean,0.611620795
5,Wheat,0.572307692
5,Rice,0.498371336
5,Oat,0.6
5,Corn,0.670731707
5,Soybean,0.685015291
5,Wheat,0.581538462
5,Rice,0.482084691
5,Oat,0.525
5,Corn,0.539634146
5,Soybean,0.581039755
5,Wheat,0.593846154
5,Rice,0.495114007
5,Oat,0.435897436
5,Corn,0.535971223
5,Soybean,0.589090909
5,Wheat,0.535580524
5,Rice,0.493243243
5,Oat,0.5
5,Corn,0.60058309
5,Soybean,0.583090379
5,Wheat,0.540935673
5,Rice,0.509493671
5,Oat,0.61038961
5,Corn,0.598187311
5,Soybean,0.629179331
5,Wheat,0.510703364
5,Rice,0.448387097
5,Oat,0.525
5,Corn,0.533527697
5,Soybean,0.556851312
5,Wheat,0.535087719
5,Rice,0.449367089
5,Oat,0.421052632
5,Corn,0.594405594
5,Soybean,0.56227758
5,Wheat,0.594890511
5,Rice,0.552631579
5,Oat,0.5
7,Corn,0.568807339
7,Soybean,0.573619632
7,Wheat,0.530864198
7,Rice,0.480392157
7,Oat,0.525
7,Corn,0.574923547
7,Soybean,0.613496933
7,Wheat,0.567901235
7,Rice,0.473856209
7,Oat,0.525
7,Corn,0.577981651
7,Soybean,0.585889571
7,Wheat,0.546296296
7,Rice,0.506535948
7,Oat,0.475
7,Corn,0.620795107
7,Soybean,0.653374233
7,Wheat,0.567901235
7,Rice,0.516339869
7,Oat,0.475
7,Corn,0.602446483
7,Soybean,0.613496933
7,Wheat,0.580246914
7,Rice,0.5
7,Oat,0.575
7,Corn,0.620795107
7,Soybean,0.650306748
7,Wheat,0.592592593
7,Rice,0.470588235
7,Oat,0.475
7,Corn,0.562691131
7,Soybean,0.567484663
7,Wheat,0.546296296
7,Rice,0.480392157
7,Oat,0.526315789
7,Corn,0.577617329
7,Soybean,0.614545455
7,Wheat,0.535580524
7,Rice,0.493243243
7,Oat,0.5
7,Corn,0.606413994
7,Soybean,0.532163743
7,Wheat,0.521994135
7,Rice,0.492063492
7,Oat,0.545454545
7,Corn,0.575757576
7,Soybean,0.646341463
7,Wheat,0.584097859
7,Rice,0.496774194
7,Oat,0.475
7,Corn,0.559766764
7,Soybean,0.573099415
7,Wheat,0.516129032
7,Rice,0.453968254
7,Oat,0.466666667
7,Corn,0.611888112
7,Soybean,0.587188612
7,Wheat,0.594890511
7,Rice,0.552631579
7,Oat,0.5
14,Corn,0.526153846
14,Soybean,0.558641975
14,Wheat,0.50310559
14,Rice,0.470394737
14,Oat,0.675675676
14,Corn,0.596923077
14,Soybean,0.62654321
14,Wheat,0.583850932
14,Rice,0.483552632
14,Oat,0.486486486
14,Corn,0.575384615
14,Soybean,0.543209877
14,Wheat,0.50310559
14,Rice,0.5
14,Oat,0.351351351
14,Corn,0.627692308
14,Soybean,0.648148148
14,Wheat,0.633540373
14,Rice,0.5
14,Oat,0.351351351
14,Corn,0.578461538
14,Soybean,0.598765432
14,Wheat,0.611801242
14,Rice,0.486842105
14,Oat,0.594594595
14,Corn,0.624615385
14,Soybean,0.657407407
14,Wheat,0.624223602
14,Rice,0.5
14,Oat,0.486486486
14,Corn,0.516923077
14,Soybean,0.543209877
14,Wheat,0.565217391
14,Rice,0.516447368
14,Oat,0.527777778
14,Corn,0.610909091
14,Soybean,0.569852941
14,Wheat,0.581132075
14,Rice,0.493150685
14,Oat,0.5
14,Corn,0.585294118
14,Soybean,0.614705882
14,Wheat,0.557522124
14,Rice,0.45686901
14,Oat,0.608108108
14,Corn,0.615853659
14,Soybean,0.671779141
14,Wheat,0.648148148
14,Rice,0.504885993
14,Oat,0.486486486
14,Corn,0.544117647
14,Soybean,0.558823529
14,Wheat,0.530973451
14,Rice,0.504792332
14,Oat,0.534246575
14,Corn,0.591549296
14,Soybean,0.584229391
14,Wheat,0.558823529
14,Rice,0.493333333
14,Oat,0.5
30,Corn,0.536050157
30,Soybean,0.545454545
30,Wheat,0.477848101
30,Rice,0.508361204
30,Oat,0.5625
30,Corn,0.5830721
30,Soybean,0.630094044
30,Wheat,0.575949367
30,Rice,0.515050167
30,Oat,0.5
30,Corn,0.589341693
30,Soybean,0.630094044
30,Wheat,0.550632911
30,Rice,0.508361204
30,Oat,0.5
30,Corn,0.626959248
30,Soybean,0.648902821
30,Wheat,0.588607595
30,Rice,0.474916388
30,Oat,0.5
30,Corn,0.620689655
30,Soybean,0.63322884
30,Wheat,0.585443038
30,Rice,0.488294314
30,Oat,0.5625
30,Corn,0.626959248
30,Soybean,0.636363636
30,Wheat,0.613924051
30,Rice,0.505016722
30,Oat,0.5
30,Corn,0.567398119
30,Soybean,0.551724138
30,Wheat,0.585443038
30,Rice,0.498327759
30,Oat,0.516129032
30,Corn,0.569852941
30,Soybean,0.593283582
30,Wheat,0.528735632
30,Rice,0.465277778
30,Oat,0.428571429
30,Corn,0.597014925
30,Soybean,0.592814371
30,Wheat,0.502994012
30,Rice,0.465798046
30,Oat,0.507246377
30,Corn,0.650154799
30,Soybean,0.657320872
30,Wheat,0.595611285
30,Rice,0.48013245
30,Oat,0.5
30,Corn,0.573134328
30,Soybean,0.538922156
30,Wheat,0.538922156
30,Rice,0.469055375
30,Oat,0.558823529
30,Corn,0.582142857
30,Soybean,0.558394161
30,Wheat,0.593283582
30,Rice,0.452702703
30,Oat,0.428571429